Timestamp,0. Select an event you participated:,1. How likely would you recommend this event to someone else? ,2. How helpful is this event on your transition into the tech industry?,3. I made a connection to participants/recruiters or mentors that might help me to transition into the tech sector?,4. How likely would you volunteer for a women++ event in the future?,4. Choose one or more soft skills which you have developed during the event?,5. How much did the event boost your confidence to succeed the transition into the tech industry?,6. Are you a member of one of our partner communities?,7. Is there anything else you want to share with us?
2023/11/11 7:37:58 PM GMT+14,bootcamp,1,2,6,4,,9,,
2023/11/11 6:43:55 PM GMT+15,bootcamp,1,0,1,3,,9,,
2023/11/11 7:37:58 PM GMT+15,bootcamp,10,7,0,0,,7,,
2023/11/11 6:43:55 PM GMT+16,bootcamp,4,7,5,6,,3,,
2023/11/11 7:37:58 PM GMT+16,bootcamp,1,7,3,10,,1,,
2023/11/11 6:43:55 PM GMT+17,bootcamp,5,8,3,5,,3,,
2023/11/11 7:37:58 PM GMT+17,bootcamp,5,10,7,2,,5,,
2023/11/11 6:43:55 PM GMT+18,bootcamp,9,4,9,6,,2,,
2023/11/11 7:37:58 PM GMT+18,bootcamp,10,6,8,2,,0,,
2023/11/11 6:43:55 PM GMT+19,bootcamp,3,10,1,0,,6,,
2023/11/11 7:37:58 PM GMT+19,bootcamp,5,5,8,9,,6,,
2023/11/11 6:43:55 PM GMT+20,bootcamp,10,3,2,3,,0,,
2023/11/11 7:37:58 PM GMT+20,bootcamp,3,8,10,5,,9,,
2023/11/11 6:43:55 PM GMT+21,bootcamp,2,4,2,1,,5,,
2023/11/11 7:37:58 PM GMT+21,bootcamp,10,8,10,4,,10,,
2023/11/11 6:43:55 PM GMT+22,bootcamp,7,10,3,4,,9,,
2023/11/11 7:37:58 PM GMT+22,bootcamp,6,3,1,0,,1,,
2023/11/11 6:43:55 PM GMT+23,bootcamp,8,5,7,0,,8,,
2023/11/11 7:37:58 PM GMT+23,bootcamp,3,4,2,7,,9,,
2023/11/11 6:43:55 PM GMT+24,bootcamp,6,0,5,4,,8,,
2023/11/11 7:37:58 PM GMT+24,bootcamp,1,0,1,3,,7,,
2023/11/11 6:43:55 PM GMT+25,bootcamp,0,2,5,8,,5,,
2023/11/11 7:37:58 PM GMT+25,bootcamp,9,1,9,3,,2,,
2023/11/11 6:43:55 PM GMT+26,bootcamp,6,4,7,3,,1,,
2023/11/11 7:37:58 PM GMT+26,bootcamp,1,3,6,2,,5,,
2023/11/11 6:43:55 PM GMT+27,bootcamp,3,1,4,7,,8,,
2023/11/11 7:37:58 PM GMT+27,bootcamp,6,10,8,10,,0,,
2023/11/11 6:43:55 PM GMT+28,bootcamp,1,1,6,4,,5,,
2023/11/11 7:37:58 PM GMT+28,bootcamp,6,2,7,6,,0,,
2023/11/11 6:43:55 PM GMT+29,bootcamp,6,6,2,10,,5,,
2023/11/11 7:37:58 PM GMT+29,bootcamp,4,3,4,2,,10,,
2023/11/11 6:43:55 PM GMT+30,bootcamp,5,1,2,8,,10,,
2023/11/11 7:37:58 PM GMT+30,bootcamp,1,5,3,0,,4,,
2023/11/11 6:43:55 PM GMT+31,bootcamp,4,4,6,7,,7,,
2023/11/11 7:37:58 PM GMT+31,bootcamp,8,4,3,10,,6,,
2023/11/11 6:43:55 PM GMT+32,bootcamp,5,10,5,3,,6,,
2023/11/11 7:37:58 PM GMT+32,bootcamp,3,7,4,9,,1,,
2023/11/11 6:43:55 PM GMT+33,bootcamp,10,5,9,1,,6,,
2023/11/11 7:37:58 PM GMT+33,bootcamp,4,4,1,10,,2,,
2023/11/11 6:43:55 PM GMT+34,bootcamp,5,5,7,3,,0,,
2023/11/11 7:37:58 PM GMT+34,bootcamp,9,7,2,3,,6,,
2023/11/11 6:43:55 PM GMT+35,bootcamp,3,5,6,5,,1,,
2023/11/11 7:37:58 PM GMT+35,bootcamp,9,2,4,1,,4,,
2023/11/11 6:43:55 PM GMT+36,bootcamp,1,5,2,1,,0,,
2023/11/11 7:37:58 PM GMT+36,bootcamp,10,1,5,3,,7,,
2023/11/11 6:43:55 PM GMT+37,bootcamp,4,9,7,8,,4,,
2023/11/11 7:37:58 PM GMT+37,bootcamp,3,10,10,1,,0,,
2023/11/11 6:43:55 PM GMT+38,bootcamp,3,1,7,5,,5,,
2023/11/11 7:37:58 PM GMT+38,bootcamp,7,4,7,5,,4,,
2023/11/11 6:43:55 PM GMT+39,bootcamp,8,5,0,0,,6,,
2023/11/11 7:37:58 PM GMT+39,bootcamp,2,0,10,1,,10,,
2023/11/11 6:43:55 PM GMT+40,bootcamp,8,2,10,9,,1,,
2023/11/11 7:37:58 PM GMT+40,bootcamp,10,4,4,0,,10,,
2023/11/11 6:43:55 PM GMT+41,bootcamp,4,2,5,3,,0,,
2023/11/11 7:37:58 PM GMT+41,bootcamp,2,4,9,5,,8,,
2023/11/11 6:43:55 PM GMT+42,bootcamp,8,4,8,7,,4,,
2023/11/11 7:37:58 PM GMT+42,bootcamp,6,7,0,8,,10,,
2023/11/11 6:43:55 PM GMT+43,bootcamp,4,1,5,8,,2,,
2023/11/11 7:37:58 PM GMT+43,bootcamp,8,2,5,5,,5,,
2023/11/11 6:43:55 PM GMT+44,bootcamp,0,9,6,9,,2,,
2023/11/11 7:37:58 PM GMT+44,bootcamp,8,5,4,3,,2,,
2023/11/11 6:43:55 PM GMT+45,bootcamp,8,2,3,3,,3,,
2023/11/11 7:37:58 PM GMT+45,bootcamp,9,9,10,8,,5,,
2023/11/11 6:43:55 PM GMT+46,bootcamp,4,3,4,0,,3,,
2023/11/11 7:37:58 PM GMT+46,bootcamp,8,5,5,9,,2,,
2023/11/11 6:43:55 PM GMT+47,bootcamp,4,3,1,3,,10,,
2023/11/11 7:37:58 PM GMT+47,bootcamp,1,4,0,10,,9,,
2023/11/11 6:43:55 PM GMT+48,bootcamp,2,0,8,6,,6,,
2023/11/11 7:37:58 PM GMT+48,bootcamp,0,9,0,0,,10,,
2023/11/11 6:43:55 PM GMT+49,bootcamp,9,9,1,8,,7,,
2023/11/11 7:37:58 PM GMT+49,bootcamp,7,8,9,10,,7,,
2023/11/11 6:43:55 PM GMT+50,bootcamp,7,5,8,7,,3,,
